utterance,intentions
im trying to find a moderately priced restaurant in the east part of town  can you recommend one to,requestfood
can you suggest me some indian ones,informnamefoodarea
thank you can you please give me the address and phone,informphonenameaddress
thank you,bye
yes i am looking for a place to stay it should be a guest,requestareapricerange
im looking in the moderate price range and should be located in the,requestareatype
lets try a hotel,informinternetnamepricerangearea
no just the postcode and phone number will be fine i need to find a french restaurant in the centre as,informpostcodephone
i need a french restaurant in the same area as,informpricerangename
yes and can i get the phone number,informphone
thank you that is all for today,bye
i will be traveling to cambridge next month  and i need to find a train running from bishops stortford heading to cambridge can you help me do this,requestleaveatday
yes that would be monday after,offerbook
great can i get tickets for 6 people and the reference,offerbookreferenceticket
thank you i also am looking for an attraction called saint johns,informaddressareaname
no you have been extremely helpful thank,greet
hi am looking for a train leaving broxbourne at,selectleaveatday
that should be fine can you book that on thursday to,requestpeople
one ticket,offerbookticket
no just the,informnamepostcode
no i think thats all that im looking for thank you very much for the,bye
thank you so much for the,bye
i need a restaurant in the west that serves hungarian,requestareafood
i guess lets check and see if there are any hungarian restaurants in other parts of town what is in the,requestfood
are there any restaurants in the west and in the expensive price range that serves indian,informchoicename
is this location in the west if so yes i would like to book a,requestpeopletimeday
please book a table for 7 people at 1145 on,requestdaytime
lets try,bookdayreferencetimepeople
yes i am also looking for a three star hotel located in the same area as the,informtypestarsparkingnameareainternetpricerange
great can i please have the address and phone,informnameaddressphone
actually yes i need a taxi to transport between the two places i want to make sure it arrives at cocum at the booked time any,inform
can i get the contact number and car type,informphonecar
i think that should be it thank,bye
i need a train to birmingham new street that leaves after,requestdeparture
i will be leaving from,informarrivebyleaveattrainid
yes that would work just fine can i get 1 ticket,offerbookreferenceticket
awesome im looking for a concert hall in the south,requesttypearea
how about a,informareaname
that sounds lovely what is the postcode and entrance,informpostcodefee
that was all i needed thank,bye
i want to book the el shaddai,requeststaypeopleday
i am looking to book it for 4 nights for 5 people starting,bookreference
that will be it thank you very much for your,bye
hello there i am trying to locate a train for,requestdestination
i am going to,requestdeparture
ill will be leaving from london liverpool,requestleaveatarriveby
i need on that will leave london after,informchoiceleaveat
what time does the one that leaves at 2139 arrive in cambridge also what is the train,offerbook
no i dont need to book it right now thanks for the,welcome
nope thanks though,bye
im looking for a train for my trip to cambridge  i need it to leave on monday and to depart from peterborough  can you give me some,requestleaveat
i want to arrive at or a little before 1215,offerbook
how long is the travel time my math is not the,offerbooktrainid
i am also looking for a hotel called archway,informtypeaddressnamepricerangearea
i need it for one person 3 nights and starting on,bookreference
no thank you thats,bye
thanks you,bye
i need a train to stansted airport from cambridge,requestday
thursday i need to arrive by,select
yes that works  can i get the train id number and the price,informtickettrainid
i need to find me a room as,requestareainternet
looking for something in the north cheap price range please dont care much about,select
sure saturday for 5 nights and 7,bookreferencename
does the worth house have a star rating of,informstarsname
can you book the worth house for 5 nights starting saturday for 7,bookreference
thank you that will be all i,bye
i am looking for a vegetarian restaurant near south cambridge or a restaurant that has a variety of vegetarian,requestareafood
uh can you tell me where the man on the moon exhibit,informaddress
what is the area that is,informarea
yes i also need a place to stay i need a hotel that is,informinternetparkingnamepricerangearea
free parking isnt that expensive to me are there any others or just the university,recommendareanamepricerange
does it have,informnameinternet
is it in the centre  if it is i would like to book,recommendareaname
please book the marriott for 4,requeststay
im not sure yet  i actually just need the info ,informaddressnamestarsareaphone
no that is all i need thank you for your,bye
i need a train departing from cambridge on,requestdeparture
i am leaving cambridge and need to go to broxbourne on,requestleaveat
i need to arrive by 1815,requestpeople
just one please i also need a place to stay with 0 stars and an expensive,bookreference
okay how about one that is in the cheap price range,informpricerangestarsnametype
is that in the north area of town,informnamearea
can i get their postcode and addresses and whether or not they free parking thank,informparkingpostcodeaddress
no thank you that is all the information i needed,welcome
we are looking for a place to go while in town in the,requesttype
a concerthall would be really nice do you have,informtypename
i would also like to find a place to eat  can you find a gastropub restaurant in the expensive,recommendname
is that close to the food place,greet
so the royal standard is in the,informareaname
can you give me the address and phone number of,informphoneaddressnamepostcode
ok perfect i also need a taxi to commute between the two,requestleaveatdeparture
i would like to be picked from cherry hinton at 2200 and arrive at the royal standard,informcarphone
thank you that is all i,bye
nope that takes care of everything for me thanks a,bye
can you get me information on a hotel called city centre north b and,informnameinternetpricerangeparkingtype
can you book it for 7 people for 4 nights starting monday can i have a reference number too,informreference
i am also looking for some train information please i want to take the train into,requestdepartureday
im leaving from ely and i should be in cambridge no later than 900 on monday i have a meeting in,select
i would prefer,offerbooktrainidticket
yes that would be great  thank you very,requestpeople
i would like two tickets,inform
no thats all thank,bye
i dont care about the price range just recommend me a restaurant that serves european food i would also like to get the phone number and,requestarea
i dont care about the area ,informaddressnamephone
thank you,bye
im looking for something to do tonight  maybe the,informfeeareatypechoice
can you give me any one in the centre and give me phone number and,informnamephonepostcode
that is great can you also find me a hotel with a 0 star in the same area as the,requestparking
no i do not need parking but need wifi while in the,selectinternet
ok thank you i would like the room for,requestpricerange
i dont have a preference please just pick,requestpeoplestay
three nights and three people from thursday,bookdaypeoplereferencestay
fantastic id also like a taxi to take me between the two locations,requestleaveat
i need to leave the hotel by 2330 can you please give me the contact number and car type for the,informcarphone
no that is all thank,bye
i need some recommendations for attractions in cambridge at the centre what would you,requesttype
no i dont have a preference may i please have some,recommendaddresstypename
could you also provide me with the postcodes for these,informnamefeeaddress
hello  im looking for a museum to visit while i am in,requestarea
i would like someplace in the center of town,recommendphoneaddressname
please give me their postcode,informpostcode
i am also looking for a hotel named worth,informaddressstarsarea
does that hotel have free parking what price range is it,informparkingpricerange
could i have the phone number,informphone
can you help  me book a taxi between the broughton house gallery and the hotel  i want to leave the gallery by,informphonecar
thats all i need  thank you ,bye
i want a train leaving from,requestday
i will be traveling by train on,requestdestinationleaveatarriveby
